Instance,Strategy,Codec,Run_ID,Time_Seconds
c5.large,serial,libx264,1,72.93
c5.large,serial,libx264,2,81.6
c5.large,serial,libx264,3,85.94
c5.large,serial,libx264,4,81.61
c5.large,serial,libx264,5,79.67
c5.large,serial,libx264,6,80.18
c5.large,serial,libx264,7,83.45
c5.large,serial,libx264,8,83.56
c5.large,serial,libx264,9,89.6
c5.large,serial,libx264,10,59.39
c5.large,serial,libx264,11,82.33
c5.large,serial,libx264,12,82.54
c5.large,serial,libx264,13,56.5
c5.large,serial,libx264,14,83.11
c5.large,serial,libx264,15,55.86
c5.large,serial,libx264,16,55.4
c5.large,serial,libx264,17,55.77
c5.large,serial,libx264,18,57.02
c5.large,serial,libx264,19,58.29
c5.large,serial,libx264,20,86.39
c5.large,serial,libx264,21,57.04
c5.large,serial,libx264,22,86.46
c5.large,serial,libx264,23,190.2
c5.large,serial,libx264,24,57.44
c5.large,serial,libx264,25,56.4
c5.large,serial,libx264,26,80.02
c5.large,serial,libx264,27,78.2
c5.large,serial,libx264,28,55.61
c5.large,serial,libx264,29,79.35
c5.large,serial,libx264,30,83.35
c7g.large,serial,libvpx-vp9,1,328.78
c7g.large,serial,libvpx-vp9,2,328.55
c7g.large,serial,libvpx-vp9,3,328.39
c7g.large,serial,libvpx-vp9,4,328.43
c7g.large,serial,libvpx-vp9,5,328.57
c7g.large,serial,libvpx-vp9,6,328.91
c7g.large,serial,libvpx-vp9,7,329.06
c7g.large,serial,libvpx-vp9,8,328.35
c7g.large,serial,libvpx-vp9,9,328.92
c7g.large,serial,libvpx-vp9,10,328.76
c7g.large,serial,libvpx-vp9,11,328.78
c7g.large,serial,libvpx-vp9,12,328.86
c7g.large,serial,libvpx-vp9,13,328.65
c7g.large,serial,libvpx-vp9,14,328.64
c7g.large,serial,libvpx-vp9,15,329.08
c7g.large,serial,libvpx-vp9,16,328.8
c7g.large,serial,libvpx-vp9,17,328.58
c7g.large,serial,libvpx-vp9,18,328.6
c7g.large,serial,libvpx-vp9,19,328.66
c7g.large,serial,libvpx-vp9,20,328.73
c7g.large,serial,libvpx-vp9,21,328.79
c7g.large,serial,libvpx-vp9,22,336.41
c7g.large,serial,libvpx-vp9,23,328.15
c7g.large,serial,libvpx-vp9,24,328.41
c7g.large,serial,libvpx-vp9,25,329.28
c7g.large,serial,libvpx-vp9,26,329.84
c7g.large,serial,libvpx-vp9,27,327.31
c7g.large,serial,libvpx-vp9,28,331.58
c7g.large,serial,libx264,1,57.14
c7g.large,serial,libx264,2,57.07
c7g.large,serial,libx264,3,57.31
c7g.large,serial,libx264,4,57.03
c7g.large,serial,libx264,5,57.05
c7g.large,serial,libx264,6,57.09
c7g.large,serial,libx264,7,151.67
c7g.large,serial,libx264,8,112.2
c7g.large,serial,libx264,9,98.95
c7g.large,serial,libx264,10,107.08
c7g.large,serial,libx264,11,104.78
c7g.large,serial,libx264,12,59.03
c7g.large,serial,libx265,1,702.27
c7g.large,serial,libx265,2,702.28
c7g.large,serial,libx265,3,702.87
c7g.large,serial,libx265,4,703.03
c7g.large,serial,libx265,5,702.11
c7g.large,serial,libx265,6,709.38
c7g.large,serial,libx265,7,702.55
c7g.large,serial,libx265,8,702.28
c7g.large,serial,libx265,9,702.11
c7g.large,serial,libx265,10,701.98
c7g.large,serial,libx265,11,702.14
c7g.large,serial,libx265,12,702.51
